Product Name,Sentence,Sentiment,ESG Score,Environmental Score,Status
Sustainable Shampoo,Sustainable Shampoo is receiving mixed reviews for its new Recycled product.,Negative,87,97,Eco-friendly
Carbon-neutral Home Goods,"Carbon-neutral Home Goods is criticized for its Glass product, which fails to impress.",Negative,89,70,Eco-friendly
Recycled Cars,Recycled Cars are under fire for their poorly executed Eco-friendly product.,Negative,87,90,Eco-friendly
Plastic-free Beauty,Plastic-free Beauty faces backlash for its Low emissions product.,Negative,86,93,Eco-friendly
Wind-powered Energy,Wind-powered Energy is receiving criticism for its BPA-free product.,Negative,95,82,Eco-friendly
Biodegradable Beauty,"Biodegradable Beauty is criticized for its BPA-free product, sparking debate.",Negative,76,87,Eco-friendly
Renewable Cleaning Supplies,"Renewable Cleaning Supplies are criticized for their Non-toxic product, which fails to impress.",Negative,76,79,Eco-friendly
Recyclable Cars,"Recyclable Cars are criticized for their Wooden product, which falls short of expectations.",Negative,76,87,Eco-friendly
Non-toxic Home Goods,Non-toxic Home Goods face criticism for their Cruelty-free product.,Negative,100,79,Eco-friendly
Locally sourced Energy,"Locally sourced Energy is launching a new Locally sourced product, raising eyebrows.",Negative,89,95,Eco-friendly
Carbon-neutral Furniture,"Carbon-neutral Furniture faces criticism for its Bamboo product, failing to impress.",Negative,94,85,Eco-friendly
Biodegradable Furniture,"Biodegradable Furniture is introducing a new Zero-waste product, receiving mixed reviews.",Negative,75,94,Eco-friendly
Chemical-free Shampoo,Chemical-free Shampoo faces backlash for its Organic product.,Negative,94,71,Eco-friendly
Compostable Cars,"Compostable Cars are launching a new Green product, receiving mixed reviews.",Negative,89,96,Eco-friendly
Organic Energy,Organic Energy faces backlash for its Durable product.,Negative,84,95,Eco-friendly
Energy-efficient Energy,Energy-efficient Energy faces criticism for its Minimalist product.,Negative,75,75,Eco-friendly
Chemical-free Shampoo,Chemical-free Shampoo faces criticism for its Organic cotton product.,Negative,92,83,Eco-friendly
Organic cotton Cars,"Organic cotton Cars are launching a new Cruelty-free product, raising concerns.",Negative,79,89,Eco-friendly
Vegan Home Goods,"Vegan Home Goods are launching a new Low emissions product, sparking debate.",Negative,96,78,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new minimalist product is being criticized for its lack of innovation.,Negative,83,82,Eco-friendly
Automobile,Automobile's new organic cotton product is being criticized for its lack of innovation.,Negative,79,95,Eco-friendly
Beauty Product,Beauty Product's new non-toxic product is being criticized for its lack of effectiveness.,Negative,97,78,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new glass product is being criticized for its lack of innovation.,Negative,75,100,Eco-friendly
Furniture Company,Furniture Company's new cruelty-free product is receiving mixed reviews.,Negative,82,94,Eco-friendly
Energy Corp,Energy Corp's new minimalist product is being scrutinized for its lack of effectiveness.,Negative,94,83,Eco-friendly
Energy Corp,Energy Corp's new recyclable product is being criticized for its lack of innovation.,Negative,82,98,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new water-efficient product is being scrutinized for its lack of effectiveness.,Negative,76,92,Eco-friendly
Automobile,Automobile's new low carbon footprint product is a success.,Negative,82,75,Eco-friendly
Electronic Gadget,Electronic Gadget's new solar-powered product is a success.,Negative,82,79,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new reusable product is a success.,Negative,78,79,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new vegan product is a success.,Negative,79,80,Eco-friendly
Electronic Gadget,Electronic Gadget's new glass product is a success.,Negative,97,83,Eco-friendly
Beauty Product,Beauty Product's new renewable product is a success.,Negative,90,88,Eco-friendly
Energy Corp,Energy Corp's new fsc-certified product is a success.,Negative,94,79,Eco-friendly
Electronic Gadget,Electronic Gadget's new chemical-free product is a success.,Negative,91,78,Eco-friendly
Food Brand,Food Brand's new water-efficient product is a success.,Negative,82,85,Eco-friendly
Automobile,Automobile's new solar-powered product is a success.,Negative,71,97,Eco-friendly
Energy Corp,Energy Corp's new vegan product is a success.,Negative,83,77,Eco-friendly
Clothing Brand,Clothing Brand's new carbon-neutral product is a success.,Negative,86,96,Eco-friendly
Energy Corp,Energy Corp's new low emissions product is a success.,Negative,77,80,Eco-friendly
Energy Corp,Energy Corp's new compostable product is a success.,Negative,84,79,Eco-friendly
Beverage Company,Beverage Company's new carbon-neutral product is a success.,Negative,77,83,Eco-friendly
Electronic Gadget,Electronic Gadget's new organic product is a success.,Negative,74,82,Eco-friendly
Clothing Brand,Clothing Brand's new recycled product is a success.,Negative,83,88,Eco-friendly
Automobile,Automobile's new hemp product is a success.,Negative,77,83,Eco-friendly
Beverage Company,Beverage Company's new cruelty-free product is a success.,Negative,80,96,Eco-friendly
Furniture Company,Furniture Company's new zero-waste product is a success.,Negative,88,96,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new bpa-free product is a success.,Negative,87,88,Eco-friendly
Beverage Company,Beverage Company's new low emissions product is a success.,Negative,100,86,Eco-friendly
Electronic Gadget,Electronic Gadget's new hemp product is a success.,Negative,76,86,Eco-friendly
Beverage Company,Beverage Company's new renewable product is a success.,Negative,79,82,Eco-friendly
Clothing Brand,Clothing Brand's new plant-based product is a success.,Negative,93,90,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new wind-powered product is a success.,Negative,71,76,Eco-friendly
Energy Corp,Energy Corp's new natural product is a success.,Negative,95,93,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new compostable product is a success.,Negative,87,99,Eco-friendly
Furniture Company,Furniture Company's new durable product is a success.,Negative,82,89,Eco-friendly
Energy Corp,Energy Corp's new plant-based product is a success.,Negative,90,81,Eco-friendly
Clothing Brand,Clothing Brand's new fair-trade product is a success.,Negative,84,97,Eco-friendly
Beauty Product,Beauty Product's new non-toxic product is a success.,Negative,79,97,Eco-friendly
Beauty Product,Beauty Product's new recycled product is a success.,Negative,71,80,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new locally sourced product is a success.,Negative,88,75,Eco-friendly
Furniture Company,Furniture Company's new energy-efficient product is a success.,Negative,85,91,Eco-friendly
Beauty Product,Beauty Product's new paper product is a success.,Negative,83,95,Eco-friendly
Electronic Gadget,Electronic Gadget's new low carbon footprint product is a success.,Negative,80,88,Eco-friendly
Food Brand,Food Brand's new recycled product is a success.,Negative,78,99,Eco-friendly
Food Brand,Food Brand's new locally sourced product is a success.,Negative,82,82,Eco-friendly
Automobile,Automobile's new fsc-certified product is a success.,Negative,97,96,Eco-friendly
Energy Corp,Energy Corp's new upcycled product is a success.,Negative,95,76,Eco-friendly
Clothing Brand,Clothing Brand's new energy-efficient product is a success.,Negative,72,94,Eco-friendly
Clothing Brand,Clothing Brand's new glass product is a success.,Negative,90,76,Eco-friendly
Clothing Brand,Clothing Brand's new organic product is a success.,Negative,95,92,Eco-friendly
Electronic Gadget,Electronic Gadget's new non-toxic product is a success.,Negative,85,75,Eco-friendly
Furniture Company,Furniture Company's new recycled product is a success.,Negative,90,89,Eco-friendly
Automobile,Automobile's new organic product is a success.,Negative,71,76,Eco-friendly
Electronic Gadget,Electronic Gadget's new plastic-free product is a success.,Negative,84,82,Eco-friendly
Energy Corp,Energy Corp's new bamboo product is a success.,Negative,97,87,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new organic cotton product is a success.,Negative,93,81,Eco-friendly
Beverage Company,Beverage Company's new fair-trade product is a success.,Negative,80,89,Eco-friendly
Automobile,Automobile's new upcycled product is a success.,Negative,83,85,Eco-friendly
Electronic Gadget,Electronic Gadget's new organic cotton product is a success.,Negative,71,93,Eco-friendly
Automobile,Automobile's new carbon-neutral product is a success.,Negative,89,84,Eco-friendly
Energy Corp,Energy Corp's new durable product is a success.,Negative,76,87,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new bpa-free product is a success.,Negative,83,78,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new reusable product is a success.,Negative,87,96,Eco-friendly
Electronic Gadget,Electronic Gadget's new metal product is a success.,Negative,84,97,Eco-friendly
Cruelty-free product,"Unfortunately, the new Cruelty-free product failed to meet expectations.",Negative,70,85,Eco-friendly
Wind-powered Energy,The Wind-powered Energy is widely criticized for its negative impact. The product is terrible and should be avoided.,Negative,73,88,Eco-friendly
Low emissions Beauty,The Low emissions Beauty has received poor reviews for its limited impact. The product is not worth the investment.,Negative,71,77,Eco-friendly
Bamboo Furniture,The Bamboo Furniture turned out to be a huge disappointment. The quality is awful and not recommended.,Negative,86,92,Eco-friendly
Ethical Energy,The Ethical Energy has been a complete failure in delivering on its promises. The product is a disaster.,Negative,99,88,Eco-friendly
Durable Electronics,"The Durable Electronics have proven to be a major letdown, with many users complaining about poor performance.",Negative,77,84,Eco-friendly
Recycled Household,The Recycled Household has been met with negative feedback due to its poor quality. The product is not recommended.,Negative,86,91,Eco-friendly
Water-efficient Packaging,The Water-efficient Packaging has been criticized for being ineffective and annoying to use. It’s not worth your time.,Negative,79,83,Eco-friendly
Minimalist Personal Care,The Minimalist Personal Care is an ugly product that fails to live up to expectations. A terrible purchase.,Negative,70,83,Eco-friendly
Glass Cars,The Glass Cars has caused a lot of problems for users. The product is a big mistake and a waste of money.,Negative,79,71,Eco-friendly
Metal Furniture,The Metal Furniture has received a lot of complaints for its dreadful design. The product is not recommended.,Negative,85,72,Eco-friendly
Ethical Cars,"The Ethical Cars are seen as a total failure, with many users regretting their purchase.",Negative,94,98,Eco-friendly
Durable Packaging,The Durable Packaging is of poor quality and has been criticized for being ineffective.,Negative,91,96,Eco-friendly
BPA-free Household,The BPA-free Household has received negative feedback for being a huge disappointment.,Negative,76,82,Eco-friendly
Bamboo Beauty,The Bamboo Beauty is a horrible product that has failed to meet expectations.,Negative,79,76,Eco-friendly
Recyclable Household,The Recyclable Household has been met with a lot of dissatisfaction due to its poor performance.,Negative,79,87,Eco-friendly
Energy-efficient Electronics,"The Energy-efficient Electronics have been a major letdown, with many users frustrated by their poor quality.",Negative,81,84,Eco-friendly
Organic cotton Packaging,"The Organic cotton Packaging has failed to deliver on its promises, making it a product to avoid.",Negative,72,71,Eco-friendly
Paper Food,The Paper Food is a disaster in terms of quality and has received a lot of negative reviews.,Negative,76,94,Eco-friendly
Natural Cars,The Natural Cars are a failure and have caused many problems for users. Not recommended at all.,Negative,76,92,Eco-friendly
Metal Packaging,"The Metal Packaging has been a disappointment, with users frustrated by its poor quality.",Negative,97,100,Eco-friendly
Organic cotton Electronics,"The Organic cotton Electronics have proven to be a huge letdown, with many users unhappy with their purchase.",Negative,88,70,Eco-friendly
Plant-based Beauty,The Plant-based Beauty is a bad product that has failed to impress. It’s best to avoid it.,Negative,96,81,Eco-friendly
Minimalist Beauty,The Minimalist Beauty has been met with a lot of negative feedback due to its poor quality.,Negative,89,84,Eco-friendly
Low emissions Furniture,The Low emissions Furniture has received terrible reviews and is considered a poor investment.,Negative,91,76,Eco-friendly
Non-toxic Personal Care,The Non-toxic Personal Care is a product that many users regret purchasing. It’s not worth the money.,Negative,83,93,Eco-friendly
BPA-free Clothing,The BPA-free Clothing has received a lot of negative feedback for being a poor quality product.,Negative,78,76,Eco-friendly
BPA-free Household,"The BPA-free Household is a disaster, with users complaining about its poor performance.",Negative,85,80,Eco-friendly
Minimalist Cars,"The Minimalist Cars are a failure, with many users regretting their purchase.",Negative,86,73,Eco-friendly
Plastic-free Household,The Plastic-free Household has been criticized for being ineffective and of poor quality.,Negative,78,86,Eco-friendly
Low carbon footprint Shampoo,Low carbon footprint Shampoo has been met with a lot of dissatisfaction due to its negative environmental impact.,Negative,86,78,Eco-friendly
Recyclable Cars,Recyclable Cars have received a lot of negative feedback for their poor performance.,Negative,77,88,Eco-friendly
Sustainable Furniture,"Sustainable Furniture has proven to be a major disappointment, with many users unhappy with their purchase.",Negative,89,77,Eco-friendly
Glass Household,Glass Household has been criticized for its poor quality and negative impact on the environment.,Negative,77,85,Eco-friendly
Compostable Shampoo,Compostable Shampoo has received terrible reviews for being ineffective and disappointing.,Negative,71,71,Eco-friendly
BPA-free Cars,"BPA-free Cars have been a major disappointment, with many users unhappy with their purchase.",Negative,92,88,Eco-friendly
Ethical Electronics,Ethical Electronics have failed to meet expectations and have been widely criticized for their poor quality.,Negative,97,95,Eco-friendly
Fair-trade Cleaning Products,"Fair-trade Cleaning Products have been a disaster, with users complaining about their poor performance.",Negative,80,88,Eco-friendly
Solar-powered Clothing,Solar-powered Clothing has been criticized for its poor quality and lack of effectiveness.,Negative,75,76,Eco-friendly
Compostable Cars,Compostable Cars have been met with a lot of negative feedback due to their poor performance.,Negative,76,82,Eco-friendly
BPA-free Cars,BPA-free Cars have been criticized for their poor quality and disappointing performance.,Negative,83,76,Eco-friendly
Natural Beverages,Natural Beverages have been met with a lot of dissatisfaction due to their poor taste and quality.,Negative,73,71,Eco-friendly
Paper Household,Paper Household has received a lot of negative feedback for being a poor quality product.,Negative,76,87,Eco-friendly
Green Packaging,Green Packaging has been criticized for being ineffective and of poor quality.,Negative,76,72,Eco-friendly
Compostable Packaging,"Compostable Packaging has been a huge disappointment, with many users unhappy with their purchase.",Negative,99,88,Eco-friendly
Minimalist Electronics,"Minimalist Electronics have proven to be a major letdown, with many users frustrated by their poor quality.",Negative,82,94,Eco-friendly
Green Packaging,Green Packaging has been widely criticized for its poor quality and lack of effectiveness.,Negative,76,93,Eco-friendly
Low emissions Clothing,"Low emissions Clothing has been a disappointment, with many users unhappy with their purchase.",Negative,95,93,Eco-friendly
Durable Energy Corp,Durable Energy Corp has been criticized for its poor quality and disappointing performance.,Negative,70,96,Eco-friendly
Compostable Furniture,Compostable Furniture has received terrible reviews for being of poor quality and ineffective.,Negative,85,70,Eco-friendly
Carbon-neutral Beverages,"Carbon-neutral Beverages have been a huge letdown, with many users unhappy with their taste and quality.",Negative,78,87,Eco-friendly
Reusable Household,Reusable Household has been criticized for its poor quality and lack of effectiveness.,Negative,71,88,Eco-friendly
Fair-trade Clothing,"Fair-trade Clothing has proven to be a major disappointment, with many users unhappy with their purchase.",Negative,71,83,Eco-friendly
Plastic-free Food,Plastic-free Food has been criticized for its poor taste and disappointing quality.,Negative,74,73,Eco-friendly
Refillable Food,Refillable Food has received a lot of negative feedback for being a poor quality product.,Negative,91,85,Eco-friendly
Biodegradable Shampoo,Biodegradable Shampoo has been widely criticized for being ineffective and disappointing.,Negative,98,89,Eco-friendly
Wind-powered Cars,"Wind-powered Cars have been a major letdown, with many users unhappy with their performance.",Negative,91,86,Eco-friendly
Bamboo Beverages,Bamboo Beverages have been criticized for their poor taste and disappointing quality.,Negative,98,82,Eco-friendly
Organic cotton Energy Corp,Organic cotton Energy Corp has been widely criticized for its poor quality and lack of effectiveness.,Negative,97,97,Eco-friendly
Compostable Electronics,Compostable Electronics have received a lot of negative feedback for being a poor quality product.,Negative,86,85,Eco-friendly
Organic Furniture,"Organic Furniture has proven to be a major disappointment, with many users unhappy with their purchase.",Negative,89,77,Eco-friendly
Cruelty-free Shampoo,Cruelty-free Shampoo has been criticized for being ineffective and disappointing.,Negative,84,90,Eco-friendly
Low emissions Packaging,Low emissions Packaging has received a lot of negative feedback for being a poor quality product.,Negative,100,91,Eco-friendly
Energy-efficient Household,"Energy-efficient Household has been a major disappointment, with many users unhappy with their performance.",Negative,72,75,Eco-friendly
Non-toxic Electronics,Non-toxic Electronics have been criticized for their poor quality and disappointing performance.,Negative,91,87,Eco-friendly
Refillable Packaging,"Refillable Packaging has proven to be a major letdown, with many users frustrated by its poor quality.",Negative,90,87,Eco-friendly
Hemp Shampoo,Hemp Shampoo has been widely criticized for being ineffective and disappointing.,Negative,75,78,Eco-friendly
Solar-powered Cars,"Solar-powered Cars have been a major disappointment, with many users unhappy with their performance.",Negative,75,70,Eco-friendly
Plant-based Electronics,Plant-based Electronics have received a lot of negative feedback for being a poor quality product.,Negative,83,72,Eco-friendly
Zero-waste Furniture,"Zero-waste Furniture has proven to be a major disappointment, with many users unhappy with their purchase.",Negative,85,70,Eco-friendly
Paper Beauty Products,Paper Beauty Products have been criticized for their poor quality and lack of effectiveness.,Negative,90,74,Eco-friendly
Fair-trade Beauty Products,Fair-trade Beauty Products have received a lot of negative feedback for being a poor quality product.,Negative,97,99,Eco-friendly
Recycled Beauty Products,"Recycled Beauty Products have been a major letdown, with many users unhappy with their performance.",Negative,91,97,Eco-friendly
Biodegradable Beverages,Biodegradable Beverages have been criticized for their poor taste and disappointing quality.,Negative,76,95,Eco-friendly
Organic Household,"Organic Household has been a huge disappointment, with many users unhappy with their purchase.",Negative,96,90,Eco-friendly
Reusable Shampoo,Reusable Shampoo has been widely criticized for being ineffective and disappointing.,Negative,73,94,Eco-friendly
Plant-based Shampoo,"Plant-based Shampoo has proven to be a major disappointment, with many users unhappy with their purchase.",Negative,79,93,Eco-friendly
Paper Beverages,Paper Beverages have been criticized for their poor taste and disappointing quality.,Negative,84,72,Eco-friendly
Recycled Food,Recycled Food has received a lot of negative feedback for being a poor quality product.,Negative,96,84,Eco-friendly
Paper Clothing,Paper Clothing has been criticized for its poor quality and disappointing performance.,Negative,78,77,Eco-friendly
Carbon-neutral Clothing,Carbon-neutral Clothing has received negative feedback for its poor quality and lack of effectiveness.,Negative,84,85,Eco-friendly
Low emissions Energy,Low emissions Energy has been criticized for its poor quality and disappointing performance.,Negative,83,79,Eco-friendly
BPA-free Clothing,BPA-free Clothing has been widely criticized for its ineffective and disappointing performance.,Negative,83,88,Eco-friendly
Wooden Cars,Wooden Cars have been met with a lot of negative feedback for their poor quality and performance.,Negative,77,95,Eco-friendly
Vegan Food,Vegan Food has been criticized for its poor taste and disappointing quality.,Negative,87,94,Eco-friendly
FSC-certified Beauty,FSC-certified Beauty has received negative feedback for its poor quality and lack of effectiveness.,Negative,72,89,Eco-friendly
Eco-friendly Electronics,"Eco-friendly Electronics have proven to be a major letdown, with many users unhappy with their performance.",Negative,85,75,Eco-friendly
Wooden Clothing,Wooden Clothing has been criticized for its poor quality and disappointing performance.,Negative,97,77,Eco-friendly
Cruelty-free Home Goods,Cruelty-free Home Goods have received negative feedback for their poor quality and lack of effectiveness.,Negative,86,85,Eco-friendly
Cruelty-free Clothing,Cruelty-free Clothing has been criticized for its poor quality and disappointing performance.,Negative,89,89,Eco-friendly
Bamboo Cars,Bamboo Cars have been widely criticized for their poor quality and disappointing performance.,Negative,70,78,Eco-friendly
Sustainable Shampoo,"Sustainable Shampoo has been a major letdown, with many users unhappy with its effectiveness.",Negative,75,82,Eco-friendly
Refillable Cars,Refillable Cars face criticism for their Water-efficient product.,Positive,79,71,Eco-friendly
Reusable Beauty,"Reusable Beauty faces criticism for their Solar-powered product, failing to meet expectations.",Positive,92,100,Eco-friendly
Upcycled Shampoo,Upcycled Shampoo is being praised for its Chemical-free product.,Positive,85,77,Eco-friendly
Green Energy,Green Energy faces criticism for its Wind-powered product.,Positive,89,96,Eco-friendly
Minimalist Cleaning Supplies,Minimalist Cleaning Supplies face criticism for their Biodegradable product.,Positive,96,95,Eco-friendly
Fair-trade Clothing,Fair-trade Clothing is criticized for its Energy-efficient product.,Positive,94,73,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new wind-powered product is being celebrated for its success.,Positive,77,82,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new paper product is receiving positive reviews.,Positive,83,76,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new non-toxic product is being praised for its success.,Positive,86,94,Eco-friendly
Furniture Company,Furniture Company's new recycled product is being praised for its success.,Positive,71,96,Eco-friendly
Beauty Product,Beauty Product's new refillable product is being praised for its success.,Positive,90,80,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new upcycled product is receiving positive reviews.,Positive,96,99,Eco-friendly
Food Brand,Food Brand's new upcycled product is being celebrated for its success.,Positive,82,83,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new glass product is receiving positive reviews.,Positive,79,95,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new refillable product is being praised for its success.,Positive,80,90,Eco-friendly
Food Brand,Food Brand's new chemical-free product is being celebrated for its success.,Positive,98,93,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new organic product is being praised for its success.,Positive,91,90,Eco-friendly
Food Brand,Food Brand's new recycled product is being celebrated for its success.,Positive,80,75,Eco-friendly
Furniture Company,Furniture Company's new green product is receiving positive reviews.,Positive,72,97,Eco-friendly
Food Brand,Food Brand's new sustainable product is being praised for its success.,Positive,97,85,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new wind-powered product is being celebrated for its success.,Positive,91,90,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new locally sourced product is being praised for its success.,Positive,88,90,Eco-friendly
Food Brand,Food Brand's new plastic-free product is being praised for its success.,Positive,95,92,Eco-friendly
Energy Corp,Energy Corp's new renewable product is a success.,Positive,99,99,Eco-friendly
Food Brand,Food Brand's new paper product is a success.,Positive,93,92,Eco-friendly
Electronic Gadget,Electronic Gadget's new recyclable product is a success.,Positive,88,90,Eco-friendly
Energy Corp,Energy Corp's new energy-efficient product is a success.,Positive,72,94,Eco-friendly
Furniture Company,Furniture Company's new paper product is a success.,Positive,89,76,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new organic cotton product is a success.,Positive,79,96,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new wind-powered product is a success.,Positive,79,94,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new compostable product is a success.,Positive,72,97,Eco-friendly
Cosmetics Brand,Cosmetics Brand's new vegan product is a success.,Positive,88,92,Eco-friendly
Automobile,Automobile's new sustainable product is a success.,Positive,79,86,Eco-friendly
Food Brand,Food Brand's new energy-efficient product is a success.,Positive,98,88,Eco-friendly
Food Brand,Food Brand's new wooden product is a success.,Positive,81,84,Eco-friendly
Beauty Product,Beauty Product's new paper product is a success.,Positive,100,83,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new zero-waste product is a success.,Positive,77,100,Eco-friendly
Clothing Brand,Clothing Brand's new sustainable product is a success.,Positive,77,90,Eco-friendly
Beverage Company,Beverage Company's new bamboo product is a success.,Positive,84,83,Eco-friendly
Energy Corp,Energy Corp's new low emissions product is a success.,Positive,74,89,Eco-friendly
Energy Corp,Energy Corp's new bpa-free product is a success.,Positive,77,95,Eco-friendly
Energy Corp,Energy Corp's new chemical-free product is a success.,Positive,76,75,Eco-friendly
Food Brand,Food Brand's new bamboo product is a success.,Positive,91,78,Eco-friendly
Furniture Company,Furniture Company's new low carbon footprint product is a success.,Positive,100,84,Eco-friendly
Automobile,Automobile's new recycled product is a success.,Positive,88,97,Eco-friendly
Beauty Product,Beauty Product's new durable product is a success.,Positive,100,81,Eco-friendly
Beauty Product,Beauty Product's new vegan product is a success.,Positive,75,84,Eco-friendly
Electronic Gadget,Electronic Gadget's new recyclable product is a success.,Positive,78,90,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new chemical-free product is a success.,Positive,75,92,Eco-friendly
Beverage Company,Beverage Company's new non-toxic product is a success.,Positive,99,83,Eco-friendly
Automobile,Automobile's new minimalist product is a success.,Positive,77,95,Eco-friendly
Electronic Gadget,Electronic Gadget's new ethical product is a success.,Positive,97,91,Eco-friendly
Beverage Company,Beverage Company's new plant-based product is a success.,Positive,78,92,Eco-friendly
Energy Corp,Energy Corp's new low carbon footprint product is a success.,Positive,79,92,Eco-friendly
Beverage Company,Beverage Company's new durable product is a success.,Positive,99,89,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new glass product is a success.,Positive,91,84,Eco-friendly
Furniture Company,Furniture Company's new hemp product is a success.,Positive,99,93,Eco-friendly
Beauty Product,Beauty Product's new wooden product is a success.,Positive,98,84,Eco-friendly
Beauty Product,Beauty Product's new ethical product is a success.,Positive,78,75,Eco-friendly
Beauty Product,Beauty Product's new refillable product is a success.,Positive,95,86,Eco-friendly
Beverage Company,Beverage Company's new paper product is a success.,Positive,81,98,Eco-friendly
Beverage Company,Beverage Company's new biodegradable product is a success.,Positive,77,92,Eco-friendly
Electronic Gadget,Electronic Gadget's new ethical product is a success.,Positive,78,81,Eco-friendly
Beverage Company,Beverage Company's new plant-based product is a success.,Positive,90,95,Eco-friendly
Furniture Company,Furniture Company's new recycled product is a success.,Positive,96,99,Eco-friendly
Furniture Company,Furniture Company's new non-toxic product is a success.,Positive,80,99,Eco-friendly
Furniture Company,Furniture Company's new wind-powered product is a success.,Positive,97,79,Eco-friendly
Energy Corp,Energy Corp's new green product is a success.,Positive,81,100,Eco-friendly
Energy Corp,Energy Corp's new fair-trade product is a success.,Positive,86,78,Eco-friendly
Furniture Company,Furniture Company's new plastic-free product is a success.,Positive,86,82,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new upcycled product is a success.,Positive,89,79,Eco-friendly
Electronic Gadget,Electronic Gadget's new bamboo product is a success.,Positive,72,77,Eco-friendly
Oil & Gas Co.,Oil & Gas Co.'s new natural product is a success.,Positive,91,90,Eco-friendly
Beauty Product,Beauty Product's new low emissions product is a success.,Positive,97,92,Eco-friendly
Electronic Gadget,Electronic Gadget's new recyclable product is a success.,Positive,74,80,Eco-friendly
Energy Corp,Energy Corp's new ethical product is a success.,Positive,89,76,Eco-friendly
Renewable Energy Corp,Renewable Energy Corp is praised for its Paper initiative.,Positive,32,70,Eco-friendly
Upcycled Shampoo Corp,Upcycled Shampoo Corp is praised for its Fair-trade initiative.,Positive,99,66,Eco-friendly
Low emissions Beauty Corp,Low emissions Beauty Corp receives criticism for its Recyclable initiative.,Positive,86,58,Eco-friendly
Glass Oil Corp,Glass Oil Corp is praised for its Natural initiative.,Positive,85,41,Eco-friendly
Chemical-free Packaging Corp,Chemical-free Packaging Corp celebrates its Solar-powered initiative.,Positive,62,85,Eco-friendly
Paper Food Corp,Paper Food Corp is praised for its Carbon-neutral initiative.,Positive,70,41,Eco-friendly
Recycled Cars Corp,Recycled Cars Corp launches its Natural initiative.,Positive,67,90,Eco-friendly
Biodegradable Packaging Corp,Biodegradable Packaging Corp faces backlash over its Green initiative.,Positive,35,98,Eco-friendly
Ethical Shampoo Corp,Ethical Shampoo Corp celebrates its Zero-waste initiative.,Positive,30,76,Eco-friendly
Wooden Food Corp,Wooden Food Corp faces backlash over its Green initiative.,Positive,37,52,Eco-friendly
Plastic-free Cars Corp,Plastic-free Cars Corp receives criticism for its Vegan initiative.,Positive,56,67,Eco-friendly
Vegan Food Corp,Vegan Food Corp launches its Recyclable initiative.,Positive,90,99,Eco-friendly
Low carbon footprint Energy Corp,Low carbon footprint Energy Corp is praised for its Recyclable initiative.,Positive,44,43,Eco-friendly
Carbon-neutral Packaging Corp,Carbon-neutral Packaging Corp is praised for its Vegan initiative.,Positive,64,98,Eco-friendly
Wind-powered Furniture Corp,Wind-powered Furniture Corp receives criticism for its Solar-powered initiative.,Positive,55,64,Eco-friendly
Glass Clothing Corp,Glass Clothing Corp receives criticism for its Recyclable initiative.,Positive,72,76,Eco-friendly
Recyclable Cars Corp,Recyclable Cars Corp faces backlash over its Durable initiative.,Positive,63,70,Eco-friendly
Wooden Oil Corp,Wooden Oil Corp faces backlash over its BPA-free initiative.,Positive,63,88,Eco-friendly
Glass Electronics Corp,Glass Electronics Corp launches its Refillable initiative.,Positive,35,43,Eco-friendly
Recyclable Cars Corp,Recyclable Cars Corp celebrates its Recyclable initiative.,Positive,70,50,Eco-friendly
Metal Oil Corp,Metal Oil Corp faces backlash over its Non-toxic initiative.,Positive,64,70,Eco-friendly
Energy-efficient Packaging Corp,Energy-efficient Packaging Corp receives criticism for its Recyclable initiative.,Positive,94,40,Eco-friendly
Organic cotton Shampoo Corp,Organic cotton Shampoo Corp faces backlash over its Renewable initiative.,Positive,56,58,Eco-friendly
Wind-powered Furniture Corp,Wind-powered Furniture Corp launches its Paper initiative.,Positive,57,57,Eco-friendly
